year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",127.00,9.00,2.51,0.00,3.54,0.00,2.95,0.00,0.00,264.00,119.00,0.00,68.00,0.00,77.00
2021,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",73.00,11.00,5.02,0.00,4.11,0.00,1.87,0.00,0.00,342.00,125.00,0.00,142.00,0.00,75.00
2021,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62.00,8.00,2.63,0.00,4.22,0.00,1.15,0.00,0.00,439.00,156.00,0.00,103.00,0.00,180.00
2021,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",166.00,18.00,8.53,3.25,3.49,0.00,2.74,0.00,1.00,1266.00,291.00,693.00,167.00,0.00,115.00
2021,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",52.00,6.00,3.15,1.88,0.15,0.00,0.82,0.00,0.00,497.00,278.00,180.00,21.00,0.00,18.00
2021,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3705.00,388.00,96.28,29.68,101.87,0.00,160.18,12.00,4.00,30500.00,10300.00,2853.00,4638.00,0.00,12709.00
2021,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",80.00,15.00,6.66,1.93,4.00,0.00,2.41,2.00,2.00,1863.00,469.00,1089.00,181.00,0.00,124.00
2021,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",30.00,5.00,1.94,0.00,3.02,0.00,0.04,0.00,1.00,469.00,385.00,0.00,81.00,0.00,3.00
2021,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",51.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,181.00,0.00,0.00,0.00,0.00,181.00
2021,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",87.00,12.00,4.68,1.83,3.34,0.00,2.15,1.00,1.00,1700.00,819.00,662.00,97.00,0.00,122.00
2021,12,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,15.00,15.00,0.00,0.00,0.00,0.00
2021,12,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",79.00,4.00,0.72,0.00,2.28,0.00,1.00,0.00,0.00,111.00,13.00,0.00,56.00,0.00,42.00
2021,12,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",65.00,6.00,1.75,0.61,1.35,0.00,2.28,0.00,0.00,278.00,65.00,11.00,36.00,0.00,166.00
2021,12,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",67.00,19.00,4.49,0.21,7.25,0.00,7.05,1.00,0.00,973.00,359.00,40.00,212.00,0.00,362.00
2021,12,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",77.00,7.00,2.47,0.00,2.60,0.00,1.93,0.00,0.00,310.00,44.00,0.00,199.00,0.00,67.00
2021,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",115.00,8.00,4.67,0.00,2.60,0.00,0.73,0.00,0.00,421.00,282.00,0.00,79.00,0.00,60.00
2021,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",249.00,18.00,7.37,0.00,2.14,0.00,8.49,1.00,0.00,1784.00,875.00,0.00,111.00,0.00,798.00
2021,12,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",85.00,11.00,7.03,1.29,2.68,0.00,0.00,1.00,2.00,1439.00,539.00,723.00,177.00,0.00,0.00
