year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,10,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1184.00,167.00,137.00,26.00,1.00,2.00,1.00,1.00,1.00,14184.00,12089.00,1941.00,27.00,64.00,63.00
2022,10,OO,SkyWest Airlines Inc.,BNA,"Nashville, TN: Nashville International",276.00,23.00,21.00,1.00,0.00,0.00,1.00,0.00,0.00,899.00,833.00,43.00,0.00,0.00,23.00
2022,10,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",28.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,58.00,0.00,0.00,0.00,0.00
2022,10,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",66.00,10.00,8.00,0.00,0.00,0.00,2.00,0.00,0.00,311.00,252.00,0.00,0.00,0.00,59.00
2022,10,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",121.00,11.00,7.00,0.00,0.00,0.00,4.00,0.00,0.00,426.00,249.00,0.00,0.00,0.00,177.00
2022,10,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5233.00,725.00,503.00,35.00,49.00,3.00,135.00,19.00,19.00,52412.00,36080.00,3184.00,2940.00,56.00,10152.00
2022,10,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2701.00,551.00,330.00,83.00,27.00,4.00,107.00,24.00,9.00,56644.00,35309.00,10908.00,2275.00,395.00,7757.00
2022,10,OO,SkyWest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1609.00,159.00,122.00,24.00,4.00,0.00,9.00,2.00,7.00,13961.00,10654.00,2248.00,605.00,0.00,454.00
2022,10,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",108.00,11.00,9.00,0.00,2.00,0.00,0.00,0.00,1.00,576.00,413.00,0.00,163.00,0.00,0.00
2022,10,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",244.00,23.00,13.00,4.00,0.00,0.00,6.00,0.00,0.00,5886.00,1881.00,762.00,0.00,0.00,3243.00
2022,10,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1077.00,96.00,58.00,7.00,5.00,0.00,26.00,1.00,2.00,7423.00,5298.00,431.00,360.00,0.00,1334.00
2022,10,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",109.00,11.00,3.00,1.00,2.00,0.00,5.00,1.00,1.00,269.00,78.00,19.00,30.00,0.00,142.00
2022,10,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3105.00,311.00,194.00,16.00,9.00,2.00,90.00,9.00,4.00,23925.00,15495.00,1348.00,577.00,88.00,6417.00
2022,10,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",120.00,12.00,7.00,0.00,4.00,0.00,1.00,2.00,0.00,948.00,366.00,0.00,442.00,0.00,140.00
2022,10,OO,SkyWest Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",172.00,17.00,14.00,1.00,2.00,0.00,0.00,0.00,0.00,1346.00,740.00,29.00,577.00,0.00,0.00
2022,10,OO,SkyWest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2524.00,153.00,129.00,22.00,2.00,0.00,0.00,0.00,0.00,17009.00,13627.00,3188.00,194.00,0.00,0.00
2022,10,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",3763.00,341.00,230.00,11.00,8.00,3.00,89.00,9.00,2.00,36603.00,23611.00,2144.00,449.00,71.00,10328.00
2022,10,OO,SkyWest Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",1.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,10,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1623.00,234.00,159.00,19.00,6.00,1.00,49.00,3.00,10.00,17912.00,11812.00,2450.00,768.00,377.00,2505.00
2022,10,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",805.00,112.00,50.00,1.00,2.00,0.00,59.00,1.00,0.00,5132.00,1840.00,32.00,31.00,0.00,3229.00
2022,10,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",1828.00,152.00,79.00,36.00,20.00,0.00,17.00,2.00,6.00,8816.00,3503.00,2872.00,1402.00,0.00,1039.00
2022,10,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2841.00,297.00,161.00,14.00,17.00,0.00,105.00,24.00,0.00,25741.00,11472.00,2611.00,806.00,0.00,10852.00
2022,10,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3216.00,211.00,161.00,29.00,5.00,1.00,15.00,2.00,5.00,16269.00,9780.00,5406.00,288.00,143.00,652.00
2022,9,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1091.00,225.00,182.00,41.00,1.00,1.00,0.00,10.00,1.00,30104.00,25416.00,4605.00,63.00,20.00,0.00
2022,9,OO,SkyWest Airlines Inc.,BNA,"Nashville, TN: Nashville International",192.00,18.00,11.00,2.00,0.00,0.00,5.00,0.00,0.00,887.00,466.00,90.00,0.00,0.00,331.00
2022,9,OO,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,9,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",38.00,7.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,423.00,322.00,0.00,63.00,38.00,0.00
2022,9,OO,SkyWest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",69.00,9.00,7.00,0.00,1.00,0.00,1.00,0.00,0.00,416.00,251.00,0.00,123.00,0.00,42.00
2022,9,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",5325.00,955.00,656.00,34.00,107.00,0.00,158.00,16.00,6.00,75209.00,51637.00,4064.00,6599.00,0.00,12909.00
2022,9,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2803.00,464.00,302.00,54.00,6.00,2.00,100.00,23.00,13.00,39687.00,28333.00,4522.00,662.00,75.00,6095.00
2022,9,OO,SkyWest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1892.00,217.00,179.00,33.00,1.00,0.00,4.00,3.00,3.00,18790.00,15655.00,2802.00,96.00,0.00,237.00
2022,9,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",55.00,7.00,4.00,1.00,2.00,0.00,0.00,0.00,0.00,561.00,273.00,21.00,267.00,0.00,0.00
2022,9,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",236.00,22.00,13.00,2.00,2.00,0.00,5.00,0.00,0.00,2095.00,1591.00,104.00,190.00,0.00,210.00
2022,9,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",992.00,88.00,51.00,7.00,10.00,0.00,20.00,3.00,2.00,8421.00,4874.00,894.00,698.00,0.00,1955.00
2022,9,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",181.00,42.00,20.00,0.00,14.00,0.00,8.00,2.00,0.00,2028.00,754.00,0.00,867.00,0.00,407.00
2022,9,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3424.00,429.00,275.00,19.00,7.00,2.00,126.00,3.00,2.00,31169.00,21499.00,1119.00,501.00,44.00,8006.00
2022,9,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",83.00,12.00,8.00,0.00,4.00,0.00,0.00,2.00,0.00,854.00,537.00,0.00,317.00,0.00,0.00
2022,9,OO,SkyWest Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",166.00,16.00,15.00,1.00,0.00,0.00,0.00,0.00,0.00,1507.00,1356.00,151.00,0.00,0.00,0.00
2022,9,OO,SkyWest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2734.00,195.00,168.00,22.00,3.00,0.00,2.00,4.00,0.00,20033.00,18428.00,1084.00,310.00,0.00,211.00
2022,9,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",3835.00,451.00,263.00,36.00,25.00,2.00,125.00,16.00,4.00,46300.00,29553.00,4060.00,2267.00,248.00,10172.00
2022,9,OO,SkyWest Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",31.00,3.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,83.00,60.00,0.00,0.00,0.00,23.00
