year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,10,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1172.00,115.00,34.04,6.44,26.26,0.00,48.26,0.00,0.00,10526.00,5378.00,714.00,958.00,0.00,3476.00
2022,10,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",238.00,40.00,14.37,1.60,12.47,0.00,11.55,6.00,1.00,2347.00,641.00,108.00,442.00,0.00,1156.00
2022,10,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",71.00,11.00,1.92,2.15,5.11,0.00,1.83,2.00,0.00,1830.00,1095.00,303.00,224.00,0.00,208.00
2022,10,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",93.00,15.00,2.26,0.00,7.56,0.00,5.18,0.00,0.00,1075.00,70.00,0.00,248.00,0.00,757.00
2022,10,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",280.00,40.00,12.56,0.26,10.90,0.00,16.28,4.00,0.00,3007.00,1009.00,10.00,656.00,0.00,1332.00
2022,10,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",170.00,27.00,6.94,0.00,14.34,0.00,5.72,2.00,0.00,1644.00,777.00,0.00,500.00,0.00,367.00
2022,10,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1411.00,104.00,36.84,1.42,15.96,0.00,49.78,4.00,8.00,8573.00,3223.00,133.00,833.00,0.00,4384.00
2022,10,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",145.00,32.00,7.49,0.00,22.51,0.00,2.00,1.00,0.00,2068.00,348.00,0.00,1546.00,0.00,174.00
2022,10,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1958.00,311.00,80.87,12.20,155.44,0.00,62.49,21.00,5.00,23839.00,8307.00,1695.00,7980.00,0.00,5857.00
2022,10,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",3548.00,789.00,91.40,43.19,474.33,0.00,180.09,123.00,23.00,71060.00,10237.00,4019.00,38291.00,0.00,18513.00
2022,10,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",699.00,47.00,20.60,0.00,6.45,0.00,19.95,0.00,0.00,3958.00,2189.00,0.00,165.00,0.00,1604.00
2022,10,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",89.00,4.00,0.97,0.00,0.03,0.00,3.00,0.00,0.00,429.00,219.00,0.00,7.00,0.00,203.00
2022,10,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",555.00,131.00,56.29,2.64,18.65,0.04,53.39,2.00,0.00,7985.00,3400.00,148.00,780.00,2.00,3655.00
2022,10,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",766.00,150.00,61.21,3.42,22.49,0.00,62.88,4.00,0.00,12975.00,4941.00,677.00,867.00,0.00,6490.00
2022,10,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1770.00,329.00,95.01,6.87,117.36,0.96,108.80,2.00,1.00,19780.00,5172.00,579.00,4753.00,107.00,9169.00
2022,10,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",326.00,65.00,28.74,0.29,7.27,0.00,28.69,1.00,0.00,3668.00,1552.00,39.00,219.00,0.00,1858.00
2022,10,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",9643.00,1200.00,418.38,17.83,217.56,4.23,542.01,61.00,4.00,104948.00,46971.00,1161.00,6835.00,181.00,49800.00
2022,10,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2748.00,560.00,151.79,9.48,173.04,0.11,225.58,21.00,7.00,44326.00,16018.00,704.00,6683.00,15.00,20906.00
2022,10,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",685.00,122.00,53.38,2.28,21.25,1.80,43.29,4.00,0.00,7037.00,3240.00,285.00,636.00,32.00,2844.00
2022,10,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12404.00,2132.00,605.34,107.00,545.39,10.19,864.08,152.00,63.00,204255.00,73289.00,9817.00,31024.00,852.00,89273.00
2022,10,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",296.00,50.00,18.14,1.30,11.01,0.00,19.55,3.00,1.00,2725.00,814.00,94.00,292.00,0.00,1525.00
2022,10,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",775.00,189.00,45.88,5.58,85.17,0.21,52.16,2.00,3.00,11569.00,3183.00,546.00,3884.00,24.00,3932.00
2022,10,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",416.00,62.00,25.06,0.57,14.67,0.00,21.69,0.00,0.00,4797.00,1827.00,44.00,625.00,0.00,2301.00
2022,10,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",144.00,27.00,10.21,1.66,3.21,0.00,11.92,0.00,0.00,1749.00,778.00,66.00,146.00,0.00,759.00
2022,10,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",551.00,96.00,35.74,2.55,21.49,0.00,36.23,4.00,0.00,6189.00,2019.00,269.00,1273.00,0.00,2628.00
2022,10,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1273.00,298.00,103.07,4.75,135.01,0.19,54.98,4.00,3.00,21293.00,7075.00,304.00,4348.00,8.00,9558.00
2022,10,AA,American Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",1189.00,260.00,83.19,6.85,81.48,0.78,87.71,2.00,0.00,15304.00,4517.00,901.00,3271.00,22.00,6593.00
2022,10,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2543.00,444.00,157.00,9.64,100.38,3.05,173.94,8.00,3.00,35195.00,13381.00,491.00,3487.00,118.00,17718.00
2022,10,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1896.00,534.00,125.57,15.46,252.91,0.73,139.33,17.00,3.00,36055.00,9323.00,1214.00,14496.00,27.00,10995.00
2022,10,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1448.00,233.00,92.67,8.95,42.00,0.24,89.14,2.00,0.00,15365.00,5324.00,848.00,1706.00,4.00,7483.00
2022,10,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4308.00,683.00,233.93,7.67,190.49,3.20,247.71,15.00,7.00,53584.00,17173.00,949.00,9009.00,105.00,26348.00
2022,10,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",289.00,42.00,13.43,0.26,12.28,0.00,16.03,2.00,0.00,2292.00,622.00,34.00,376.00,0.00,1260.00
2022,10,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4652.00,646.00,227.38,8.71,128.96,2.15,278.80,19.00,4.00,61094.00,23065.00,982.00,4074.00,74.00,32899.00
2022,10,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",3639.00,549.00,179.25,9.94,161.32,1.53,196.95,23.00,2.00,43200.00,16312.00,708.00,5653.00,62.00,20465.00
2022,10,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4204.00,677.00,234.88,21.84,181.71,2.89,235.68,22.00,23.00,71896.00,35228.00,2203.00,7340.00,71.00,27054.00
2022,10,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",667.00,137.00,46.09,4.67,40.95,0.73,44.56,3.00,0.00,8554.00,3282.00,282.00,1446.00,11.00,3533.00
2022,10,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",440.00,73.00,27.24,2.74,13.98,0.00,29.04,1.00,0.00,4061.00,1271.00,100.00,531.00,0.00,2159.00
2022,10,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",784.00,130.00,54.37,2.71,24.44,0.36,48.12,7.00,1.00,9119.00,4146.00,102.00,923.00,8.00,3940.00
2022,10,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",291.00,49.00,20.86,4.01,3.51,0.00,20.63,1.00,1.00,2913.00,1054.00,395.00,129.00,0.00,1335.00
2022,10,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",966.00,149.00,69.87,2.97,13.94,0.73,61.50,5.00,0.00,10644.00,4676.00,234.00,558.00,16.00,5160.00
2022,10,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",63.00,13.00,6.63,0.00,2.58,0.00,3.80,0.00,0.00,467.00,309.00,0.00,67.00,0.00,91.00
2022,10,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",62.00,12.00,4.08,0.00,6.16,0.00,1.76,0.00,0.00,280.00,107.00,0.00,142.00,0.00,31.00
2022,10,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",213.00,73.00,14.12,0.45,54.69,0.00,3.74,0.00,0.00,2558.00,735.00,17.00,1699.00,0.00,107.00
2022,10,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",36.00,10.00,3.68,0.00,5.60,0.00,0.73,0.00,0.00,402.00,200.00,0.00,167.00,0.00,35.00
2022,10,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",62.00,8.00,4.28,0.00,2.17,0.00,1.55,0.00,0.00,316.00,204.00,0.00,59.00,0.00,53.00
2022,10,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",155.00,31.00,8.19,0.00,19.92,0.00,2.89,0.00,0.00,1034.00,412.00,0.00,480.00,0.00,142.00
2022,10,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",138.00,24.00,8.35,0.00,9.59,0.00,6.06,0.00,0.00,913.00,355.00,0.00,312.00,0.00,246.00
2022,10,AS,Alaska Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",172.00,30.00,10.08,0.00,16.78,0.94,2.19,0.00,2.00,1162.00,545.00,0.00,520.00,16.00,81.00
2022,10,AS,Alaska Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",36.00,6.00,2.68,0.00,1.74,0.00,1.58,1.00,0.00,234.00,116.00,0.00,71.00,0.00,47.00
2022,10,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",308.00,128.00,23.59,0.00,98.43,0.00,5.98,1.00,0.00,6240.00,1394.00,0.00,4510.00,0.00,336.00
2022,10,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",31.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,45.00,0.00,0.00,0.00
2022,10,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",115.00,31.00,7.64,0.00,18.03,0.00,5.33,0.00,0.00,876.00,277.00,0.00,452.00,0.00,147.00
2022,10,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",61.00,7.00,1.58,0.00,2.81,0.00,2.61,0.00,0.00,252.00,64.00,0.00,77.00,0.00,111.00
2022,10,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",371.00,104.00,30.51,0.00,63.14,0.00,10.35,1.00,1.00,4641.00,1932.00,0.00,2211.00,0.00,498.00
2022,10,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: Harry Reid International",494.00,75.00,28.11,2.95,26.39,0.00,17.54,1.00,0.00,2949.00,1074.00,297.00,875.00,0.00,703.00
2022,10,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",712.00,100.00,28.81,2.71,34.68,0.09,33.71,4.00,0.00,4505.00,1247.00,134.00,1211.00,8.00,1905.00
2022,10,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",186.00,28.00,6.19,0.00,17.05,1.00,3.76,0.00,0.00,1298.00,328.00,0.00,771.00,18.00,181.00
2022,10,AS,Alaska Airlines Inc.,MIA,"Miami, FL: Miami International",31.00,2.00,1.96,0.00,0.04,0.00,0.00,0.00,0.00,44.00,43.00,0.00,1.00,0.00,0.00
2022,10,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",62.00,5.00,3.38,0.00,0.98,0.00,0.64,0.00,0.00,230.00,146.00,0.00,45.00,0.00,39.00
2022,10,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",231.00,50.00,16.79,0.00,21.53,0.35,11.33,1.00,0.00,1808.00,747.00,0.00,561.00,6.00,494.00
2022,10,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",31.00,9.00,2.81,0.00,5.05,0.00,1.14,0.00,0.00,311.00,126.00,0.00,153.00,0.00,32.00
2022,10,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",361.00,56.00,18.69,0.06,20.89,0.81,15.54,0.00,2.00,2402.00,958.00,2.00,711.00,28.00,703.00
2022,10,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",713.00,118.00,25.09,2.37,38.28,1.61,50.65,1.00,1.00,5655.00,2057.00,209.00,1090.00,45.00,2254.00
2022,10,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",6123.00,746.00,206.78,16.89,272.51,2.80,247.02,37.00,5.00,37905.00,14456.00,1387.00,8345.00,68.00,13649.00
2022,10,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1115.00,187.00,45.30,0.32,83.84,0.00,57.54,7.00,2.00,8795.00,3209.00,7.00,2430.00,0.00,3149.00
2022,10,AS,Alaska Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",111.00,9.00,1.32,0.00,2.83,0.00,4.85,0.00,0.00,282.00,35.00,0.00,76.00,0.00,171.00
2022,10,AS,Alaska Airlines Inc.,TPA,"Tampa, FL: Tampa International",49.00,11.00,4.60,0.00,3.47,0.84,2.09,0.00,0.00,362.00,208.00,0.00,86.00,21.00,47.00
2022,10,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",214.00,56.00,27.36,0.68,20.29,0.00,7.67,0.00,0.00,2942.00,1527.00,27.00,935.00,0.00,453.00
2022,10,B6,JetBlue Airways,BNA,"Nashville, TN: Nashville International",228.00,82.00,35.11,0.00,28.30,0.00,18.58,3.00,2.00,4872.00,2191.00,0.00,1121.00,0.00,1560.00
2022,10,B6,JetBlue Airways,BOS,"Boston, MA: Logan International",4167.00,1030.00,340.93,5.47,399.14,1.17,283.29,51.00,4.00,65000.00,22811.00,764.00,18122.00,61.00,23242.00
2022,10,B6,JetBlue Airways,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",102.00,18.00,7.98,0.00,2.82,0.00,7.20,0.00,0.00,1189.00,438.00,0.00,63.00,0.00,688.00
2022,10,B6,JetBlue Airways,CLT,"Charlotte, NC: Charlotte Douglas International",78.00,19.00,9.55,1.00,4.59,0.00,3.86,0.00,0.00,970.00,532.00,33.00,117.00,0.00,288.00
2022,10,B6,JetBlue Airways,DCA,"Washington, DC: Ronald Reagan Washington National",904.00,187.00,81.52,0.73,61.47,1.52,41.76,16.00,2.00,10648.00,5054.00,33.00,2433.00,28.00,3100.00
2022,10,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",152.00,35.00,17.23,0.00,11.72,0.00,6.04,1.00,1.00,2399.00,1491.00,0.00,464.00,0.00,444.00
2022,10,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",62.00,18.00,11.51,0.00,5.34,0.00,1.15,0.00,1.00,837.00,546.00,0.00,260.00,0.00,31.00
2022,10,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",181.00,47.00,25.00,1.00,9.49,0.00,11.51,0.00,0.00,3043.00,1695.00,116.00,429.00,0.00,803.00
2022,10,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",530.00,131.00,35.87,3.00,56.42,0.23,35.48,6.00,2.00,9843.00,3637.00,310.00,3349.00,26.00,2521.00
2022,10,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1232.00,345.00,145.30,1.00,95.22,2.27,101.21,2.00,0.00,21669.00,9842.00,16.00,3870.00,79.00,7862.00
2022,10,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",64.00,18.00,8.96,0.00,7.50,0.00,1.54,0.00,1.00,913.00,646.00,0.00,205.00,0.00,62.00
2022,10,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",4069.00,1100.00,391.94,12.19,409.61,3.35,282.91,50.00,16.00,62133.00,24844.00,1395.00,15877.00,85.00,19932.00
2022,10,B6,JetBlue Airways,LAS,"Las Vegas, NV: Harry Reid International",332.00,79.00,49.66,0.00,20.50,0.88,7.97,1.00,1.00,4448.00,2956.00,0.00,965.00,29.00,498.00
2022,10,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",954.00,181.00,77.42,0.00,57.45,0.00,46.13,2.00,2.00,10988.00,5366.00,0.00,2006.00,0.00,3616.00
2022,10,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",1431.00,399.00,98.89,10.58,198.77,1.00,89.76,50.00,3.00,29213.00,6803.00,2551.00,12107.00,33.00,7719.00
2022,10,B6,JetBlue Airways,MCO,"Orlando, FL: Orlando International",1384.00,400.00,161.82,2.08,124.03,0.30,111.77,6.00,0.00,22238.00,9577.00,212.00,3888.00,20.00,8541.00
2022,10,B6,JetBlue Airways,MIA,"Miami, FL: Miami International",248.00,87.00,47.05,0.00,26.90,0.00,13.05,2.00,1.00,5499.00,3238.00,0.00,1245.00,0.00,1016.00
2022,10,B6,JetBlue Airways,MSP,"Minneapolis, MN: Minneapolis-St Paul International",110.00,28.00,15.52,0.43,5.55,0.00,6.50,0.00,1.00,1516.00,891.00,32.00,162.00,0.00,431.00
2022,10,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",124.00,26.00,17.71,0.00,1.93,0.00,6.36,0.00,0.00,1903.00,1294.00,0.00,85.00,0.00,524.00
2022,10,B6,JetBlue Airways,PHL,"Philadelphia, PA: Philadelphia International",77.00,7.00,3.90,0.28,1.34,0.00,1.47,0.00,0.00,534.00,318.00,34.00,98.00,0.00,84.00
2022,10,B6,JetBlue Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",93.00,32.00,17.80,0.00,9.39,0.00,4.82,0.00,1.00,1232.00,676.00,0.00,317.00,0.00,239.00
2022,10,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",177.00,34.00,20.15,0.00,10.78,0.00,3.07,0.00,1.00,1440.00,927.00,0.00,338.00,0.00,175.00
2022,10,B6,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",74.00,9.00,6.36,0.00,2.00,0.00,0.64,0.00,0.00,598.00,463.00,0.00,82.00,0.00,53.00
2022,10,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",434.00,50.00,32.23,0.00,10.33,0.00,7.44,0.00,0.00,3756.00,2959.00,0.00,293.00,0.00,504.00
2022,10,B6,JetBlue Airways,SLC,"Salt Lake City, UT: Salt Lake City International",145.00,32.00,18.28,0.00,7.46,0.00,6.26,0.00,1.00,1709.00,1060.00,0.00,259.00,0.00,390.00
2022,10,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",416.00,147.00,70.58,0.94,44.77,0.00,30.71,0.00,0.00,8425.00,4008.00,32.00,1378.00,0.00,3007.00
2022,10,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",17890.00,1557.00,639.95,26.10,351.53,3.74,535.68,71.00,4.00,109340.00,63866.00,3111.00,10430.00,321.00,31612.00
2022,10,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",743.00,66.00,42.53,0.89,15.42,0.00,7.16,1.00,2.00,4065.00,3043.00,17.00,507.00,0.00,498.00
2022,10,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1925.00,344.00,109.37,3.56,155.57,0.00,75.50,10.00,1.00,26218.00,12972.00,130.00,6581.00,0.00,6535.00
2022,10,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",420.00,40.00,27.96,1.00,8.08,0.00,2.96,0.00,0.00,1706.00,1289.00,16.00,257.00,0.00,144.00
2022,10,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",448.00,22.00,12.38,1.00,2.44,0.00,6.18,0.00,0.00,1282.00,646.00,180.00,79.00,0.00,377.00
2022,10,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",122.00,12.00,5.85,0.00,6.00,0.00,0.15,0.00,1.00,447.00,272.00,0.00,169.00,0.00,6.00
2022,10,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",692.00,124.00,64.86,0.00,46.54,0.79,11.81,0.00,1.00,5963.00,3941.00,0.00,1416.00,30.00,576.00
