year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5358.00,391.00,114.05,13.71,144.70,0.86,117.68,3.00,1.00,35063.00,16409.00,2003.00,7115.00,75.00,9461.00
2021,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,1,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",21.00,2.00,0.46,0.00,1.38,0.00,0.17,0.00,0.00,45.00,11.00,0.00,30.00,0.00,4.00
2021,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",54.00,9.00,4.13,0.00,4.80,0.00,0.07,0.00,0.00,382.00,262.00,0.00,114.00,0.00,6.00
2021,1,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,1,9E,Endeavor Air Inc.,DAL,"Dallas, TX: Dallas Love Field",37.00,2.00,0.00,0.00,1.29,0.00,0.71,0.00,0.00,43.00,0.00,0.00,28.00,0.00,15.00
2021,1,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",19.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,1,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",53.00,9.00,2.00,0.00,5.42,0.00,1.58,0.00,0.00,344.00,67.00,0.00,201.00,0.00,76.00
2021,1,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2276.00,160.00,42.16,4.70,60.85,0.00,52.30,1.00,0.00,16418.00,7085.00,1157.00,2088.00,0.00,6088.00
2021,1,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",111.00,11.00,3.55,0.55,6.90,0.00,0.00,1.00,0.00,395.00,197.00,12.00,186.00,0.00,0.00
