YEAR,MONTH,QUARTER,AIRLINE_ID,CARRIER,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,PASSENGERS,MISHANDLED_BAGGAGE,ENPLANED_BAGGAGE,MISHANDLED_WCHR_SCTR,ENPLANED_WCHR_SCTR,FORM_TYPE,MKT_CARRIER_FLAG
2016,4,2,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1585779,3644,,,,,
2016,10,4,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10121591,24419,,,,,
2016,10,4,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,1858813,2072,,,,,
2016,10,4,20409,B6,JetBlue Airways,B6,JetBlue Airways,2624539,3303,,,,,
2016,10,4,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10667071,13623,,,,,
2016,10,4,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1760941,5696,,,,,
2016,10,4,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1320241,6189,,,,,
2016,10,4,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,847699,2317,,,,,
2016,10,4,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1596534,2846,,,,,
2016,10,4,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2590735,6442,,,,,
2016,10,4,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,7073717,14965,,,,,
2016,10,4,21171,VX,Virgin America,VX,Virgin America,657048,632,,,,,
2016,10,4,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,13025226,29068,,,,,
2016,11,4,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,9653208,23105,,,,,
2016,11,4,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,1876070,2142,,,,,
2016,11,4,20409,B6,JetBlue Airways,B6,JetBlue Airways,2687459,3512,,,,,
2016,11,4,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10111035,12468,,,,,
2016,11,4,20366,EV,ExpressJet Airlines Inc.,EV,ExpressJet Airlines Inc.,1620696,5126,,,,,
2016,11,4,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1196083,3701,,,,,
2016,11,4,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,791475,1835,,,,,
2016,11,4,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,1618374,2737,,,,,
2016,11,4,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,2409655,6316,,,,,
2016,11,4,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,6548526,12665,,,,,
2016,11,4,21171,VX,Virgin America,VX,Virgin America,655855,632,,,,,
2016,11,4,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,12862236,31000,,,,,
2016,12,4,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,9777696,37769,,,,,
