ev_id,regis_no,damage,acft_make,acft_model,acft_category,total_seats,num_eng,date_last_insp,owner_country,oper_name,dprt_apt_id,dprt_city,dprt_state,dprt_country,dprt_time,dest_apt_id,dest_city,dest_state,dest_country,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,latitude,longitude,apt_name,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,wind_vel_kts,altimeter,ev_highest_injury,inj_total,lchg_date,dec_latitude,dec_longitude,finding_code,finding_description,occurence_description
20110207X84026,N13964,MINR,EMBRAER,EMB-145LR,AIR,55,2,,USA,ExpressJet Airlines,,,,,,,,,,OPS11IA271,INC,2/1/2011,Tu,236,Dayton,OH,USA,,2011,2,394536N,0841239W,James M. Cox Dayton Internatio,NITE,,0,1900,OVC,12,30.11000061,NONE,32,9/25/2020,39.760101,-84.210777,204152044,Personnel issues-Action/decision-Action-Incorrect action performance,Landing-landing roll Runway excursion
20110209X55126,N704X,MINR,BOEING,757-2Q8,AIR,178,2,,USA,Delta Air Lines,KMSP,Minneapolis,MN,USA,,KJFK,Jamaica,NY,USA,ENG11IA016,INC,2/9/2011,We,1230,Minneapolis,MN,USA,55450,2011,2,443112N,0093712W,Minneapolis-St.Paul Internatio,NITE,,0,0,,,0,NONE,2,9/25/2020,44.52,-93.120002,105732102,Aircraft-Aircraft power plant-Engine fuel and control,Standing-engine(s) start-up Fire/smoke (non-impact)
20110219X32035,N706JB,,AIRBUS,A320-232,AIR,160,2,2/14/2011,USA,JetBlue Airways,JFK,Jamaica,NY,USA,2200,BTV,Burlington,VT,USA,ERA11CA152,ACC,2/19/2011,Sa,2343,North Fayston,VT,USA,5403,2011,2,044242N,0724238W,Burlington International,NITE,FEW,3400,4400,OVC,20,29.78000069,SERS,119,9/25/2020,44.045124,-72.710533,303200083,Aircraft-Aircraft power plant-Engine fuel and control,Approach-IFR initial approach Turbulence encounter
20110222X20316,N945AN,MINR,BOEING,737-823,AIR,160,2,,USA,American Airlines,DFW,Southlake,TX,USA,125,PBI,Palm Beach,FL,USA,CEN11IA198,INC,2/21/2011,Mo,124,Southlake,TX,USA,76092,2011,2,325349N,0097217W,Dallas-Fort Worth Int'l.,NITE,FEW,5000,0,NONE,16,29.69000053,NONE,145,9/25/2020,32.896945,-97.038055,204104039,Personnel issues-Action/decision-Action-Incorrect action performance,Pushback/towing Ground handling event
20110228X54428,N684DA,,BOEING,757-232,AIR,192,2,2/11/2011,USA,Delta Air Lines,KSLC,Salt Lake City,,USA,454,KSEA,Seattle,WA,USA,WPR11LA149,ACC,2/28/2011,Mo,639,Naches,WA,USA,98937,2011,2,464841N,0120577W,,NDRK,,1000,1900,OVC,18,29.52000046,SERS,190,9/25/2020,46.811389,-120.951942,303202081,Environmental issues-Conditions/weather/phenomena,Enroute-descent Turbulence encounter
20110318X05118,N11187,MINR,EMBRAER,EMB-145XR,AIR,55,2,5/25/2011,USA,ExpressJet Airlines,ORD,Chicago,IL,USA,322,CAK,Akron,OH,USA,CEN11IA234,INC,3/18/2011,Fr,409,Akron,OH,USA,44720,2011,3,405454N,0812637W,Akron-Canton Regional Airport,NITE,,0,6000,BKN,14,29.93000031,NONE,46,9/25/2020,40.915,-81.443611,500000000,Not determined,Landing-landing roll Loss of control on ground
20110324X53002,N693DL,,BOEING,757-232,AIR,178,2,,USA,Delta Air Lines,KATL,ATLANTA,GA,USA,1721,KLGA,New York,GA,USA,OPS11IA410,INC,3/11/2011,Fr,1721,ATLANTA,GA,USA,,2011,3,,,Atlanta,DAYL,FEW,5000,0,,9,30.17000008,NONE,130,9/25/2020,,,204104044,Personnel issues-Action/decision-Action-Incorrect action performance,Takeoff Preflight or dispatch event
20110330X05145,N293WN,,BOEING,737-7H4,AIR,140,2,,USA,Southwest Airlines,PHX,Phoenix,AZ,USA,1838,MCO,Orlando,FL,USA,OPS11IA428,INC,3/27/2011,Su,2102,Orlando,FL,USA,32827,2011,3,282511N,0081181W,"Orlando, FL",DAYL,FEW,5500,0,NONE,14,29.94000053,NONE,145,9/25/2020,28.419742,-81.3003,204152036,Personnel issues-Action/decision-Action-Incorrect action performance,Enroute Comm system malf/failure
20110401X24330,N632SW,SUBS,BOEING,737,AIR,149,2,,USA,Southwest Airlines,PHX,Phoenix,AZ,USA,,SMF,Sacramento,CA,USA,DCA11MA039,ACC,4/1/2011,Fr,2257,Yuma,AZ,USA,85365,2011,4,323924N,1143621W,Yuma International Airport,DAYL,,0,0,,,0,MINR,122,9/25/2020,32.656665,-114.605834,203201032,Personnel issues-Action/decision-Action-Incorrect action performance,Enroute-climb to cruise Aircraft structural failure
20110404X21934,N409UA,MINR,AIRBUS,A320,AIR,200,2,,USA,United Airlines,MSY,New Orleans,LA,USA,,SFO,San Francisco,CA,USA,DCA11IA040,INC,4/4/2011,Mo,1225,New Orleans,LA,USA,70062,2011,4,295923N,0901458W,Louis Armstrong New Orleans,DAYL,SCAT,1700,2300,BKN,16,29.84000015,NONE,109,9/25/2020,29.989721,-90.249443,102314011,Aircraft-Aircraft systems-Equipment/furnishings,Initial climb Electrical system malf/failure
