Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01409E+12,18-Aug-14,14-Jul-14,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,"$2,500.00 ",Settle
2.01408E+12,22-Jul-14,9-Jul-14,ORD,Chicago O'Hare International Airport,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,"$2,430.74 ",Settle
2.01412E+12,26-Nov-14,2-Aug-14,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Medical/Science,"$2,400.00 ",Settle
2.01405E+12,14-May-14,20-Mar-14,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Other,"$2,250.00 ",Settle
2.01403E+12,17-Mar-14,25-Feb-14,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Currency,"$2,200.00 ",Approve in Full
2.01406E+12,17-Jun-14,8-Jun-14,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,"$2,050.00 ",Approve in Full
2.01401E+12,17-Jan-14,9-Jan-14,BLV,Midamerica Airport,Allegiant Air,Passenger Property Loss,Checked Baggage,Medical/Science,"$2,001.98 ",Settle
2.01402E+12,11-Feb-14,28-Nov-13,IAD,Washington Dulles International,Emirates,Passenger Property Loss,Checked Baggage,Currency,"$2,000.00 ",Approve in Full
2.01403E+12,24-Mar-14,19-Mar-14,PHL,Philadelphia International Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,"$2,000.00 ",Settle
2.01407E+12,24-Jun-14,28-May-14,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Currency,"$2,000.00 ",Approve in Full
2.01405E+12,21-Apr-14,6-Sep-13,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checked Baggage,Other,"$1,931.99 ",Settle
2.01403E+12,20-Mar-14,19-Feb-14,SAN,San Diego International,Virgin America,Property Damage,Checkpoint,Cameras,"$1,900.00 ",Settle
2.01405E+12,15-May-14,2-May-14,PBI,Palm Beach International,Jet Blue,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,"$1,865.00 ",Settle
2.01403E+12,19-Mar-14,4-Mar-14,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Computer & Accessories,"$1,790.29 ",Approve in Full
2.01404E+12,23-Apr-14,9-Sep-13,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,Computer & Accessories,"$1,737.63 ",Settle
2.01401E+12,2-Jan-14,23-Dec-13,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,"$1,735.91 ",Approve in Full
2.01404E+12,11-Apr-14,1-Apr-14,JFK,John F. Kennedy International,Alitalia  ,Passenger Property Loss,Checked Baggage,Clothing,"$1,689.05 ",Settle
2.01406E+12,16-Jun-14,9-Apr-14,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checkpoint,Jewelry & Watches,"$1,647.01 ",Approve in Full
2.01407E+12,9-Jul-14,25-May-14,MCO,Orlando International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,"$1,520.00 ",Settle
2.01401E+12,8-Jan-14,12-Dec-13,EUG,Eugene Airport/Mahlon Sweet Field,UAL  ,Property Damage,Checked Baggage,Computer & Accessories,"$1,500.00 ",Settle
2.01403E+12,10-Mar-14,25-Feb-14,TSA,TSA - Non-Specified Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Medical/Science,"$1,500.00 ",Settle
2.01405E+12,28-May-14,9-May-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Cameras; Clothing; Cosmetics & Grooming,"$1,463.31 ",Settle
2.01406E+12,28-May-14,12-May-14,BDL,Bradley International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,429.73 ",Settle
2.01403E+12,19-Mar-14,4-Mar-14,CMH,Port Columbus International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,400.19 ",Settle
2.01401E+12,2-Jan-14,13-Dec-13,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checkpoint,Jewelry & Watches,"$1,385.00 ",Approve in Full
2.01403E+12,19-Mar-14,30-Dec-13,PHL,Philadelphia International Airport,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,363.16 ",Approve in Full
2.01407E+12,26-Jun-14,22-May-14,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,361.79 ",Approve in Full
2.01402E+12,24-Feb-14,16-Feb-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,350.00 ",Settle
2.01408E+12,8-Aug-14,19-Jul-14,JAX,Jacksonville International,Southwest Airlines  ,Property Damage,Checked Baggage,Audio/Video,"$1,322.62 ",Approve in Full
2.01401E+12,15-Jan-14,12-Dec-13,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,"$1,306.65 ",Settle
2.01401E+12,24-Jan-14,27-Nov-13,EWR,Newark International Airport,Air Canada,Property Damage,Checkpoint,Computer & Accessories,"$1,302.00 ",Approve in Full
2.01403E+12,10-Mar-14,28-Feb-14,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,300.00 ",Approve in Full
2.01404E+12,3-Apr-14,19-Mar-14,BNA,Nashville International,Southwest Airlines  ,Property Damage,Checked Baggage,Other,"$1,300.00 ",Approve in Full
2.01405E+12,16-May-14,10-May-14,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checkpoint,Baggage/Cases/Purses; Computer & Accessories,"$1,291.71 ",Settle
2.01403E+12,14-Mar-14,10-Mar-14,DCA,Ronald Reagan Washington National Airport,American Airlines  ,Passenger Property Loss,Checkpoint,Personal Electronics,"$1,269.49 ",Settle
2.01402E+12,25-Feb-14,14-Feb-14,LAX,Los Angeles International Airport ,USAir  ,Property Damage,Checkpoint,Other,"$1,250.00 ",Approve in Full
2.01403E+12,23-Sep-14,3-Feb-14,LAX,Los Angeles International Airport ,Virgin America,Personal Injury,Checked Baggage,Home Decor,"$1,250.00 ",Settle
2.01407E+12,27-Jun-14,23-Mar-14,LAS,McCarran International,USAir  ,Property Damage,Checkpoint,Jewelry & Watches,"$1,250.00 ",Approve in Full
2.01407E+12,30-Jun-14,27-Jun-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,"$1,248.76 ",Approve in Full
2.01401E+12,24-Jan-14,6-Jan-14,MSP,Minneapolis/ St.Paul International Airport,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,"$1,240.00 ",Approve in Full
2.01402E+12,11-Feb-14,6-Feb-14,BNA,Nashville International,Delta Air Lines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,240.00 ",Approve in Full
2.01403E+12,17-Mar-14,20-Feb-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,240.00 ",Approve in Full
2.01411E+12,10-Nov-14,15-Oct-14,LAX,Los Angeles International Airport ,Jet Blue,Property Damage,Checkpoint,Computer & Accessories,"$1,240.00 ",Approve in Full
2.01402E+12,6-Feb-14,14-Jan-14,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Property Damage,Checkpoint,Computer & Accessories,"$1,227.75 ",Settle
2.01405E+12,1-May-14,22-Mar-14,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,"$1,200.00 ",Approve in Full
2.01401E+12,22-Jan-14,5-Jan-14,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,"$1,174.36 ",Settle
2.01402E+12,13-Feb-14,12-Feb-14,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checkpoint,Computer & Accessories,"$1,144.16 ",Settle
2.01403E+12,12-Mar-14,7-Mar-14,EWR,Newark International Airport,Air Canada,Passenger Property Loss,Checked Baggage,Computer & Accessories,"$1,100.00 ",Settle
